ime,zacetek_kariere,konec_kariere/sedanjost,pozicija,visina,teza,leto_rojstva,v_hall_of_fame,trenutno_v_ligi
Alaa Abdelnaby,1991,1995,F-C,208,109,1968,ne,ne
Zaid Abdul-Aziz,1969,1978,C-F,206,107,1946,ne,ne
Kareem Abdul-Jabbar,1970,1989,C,218,102,1947,da,ne
Mahmoud Abdul-Rauf,1991,2001,G,185,74,1969,ne,ne
Tariq Abdul-Wahad,1998,2003,F,198,101,1974,ne,ne
Shareef Abdur-Rahim,1997,2008,F,206,102,1976,ne,ne
Tom Abernethy,1977,1981,F,201,100,1954,ne,ne
Forest Able,1957,1957,G,190,82,1932,ne,ne
John Abramovic,1947,1948,F,190,89,1919,ne,ne
Álex Abrines,2017,2019,G-F,198,91,1993,ne,ne
Precious Achiuwa,2021,2023,F,203,102,1999,ne,da
Alex Acker,2006,2009,G,196,84,1983,ne,ne
Don Ackerman,1954,1954,G,183,83,1930,ne,ne
Mark Acres,1988,1993,F-C,211,100,1962,ne,ne
Bud Acton,1968,1968,F,198,95,1942,ne,ne
Quincy Acy,2013,2019,F-C,201,109,1990,ne,ne
Alvan Adams,1976,1988,C-F,206,95,1954,ne,ne
Don Adams,1971,1977,F,198,95,1947,ne,ne
George Adams,1973,1975,F-G,196,95,1949,ne,ne
Hassan Adams,2007,2009,G,193,100,1984,ne,ne
Jaylen Adams,2019,2021,G,183,102,1996,ne,ne
Jordan Adams,2015,2016,G,196,95,1994,ne,ne
Michael Adams,1986,1996,G,178,74,1963,ne,ne
Steven Adams,2014,2023,C,211,120,1993,ne,da
Rafael Addison,1987,1997,F-G,201,98,1964,ne,ne
Bam Adebayo,2018,2023,C-F,206,116,1997,ne,da
Deng Adel,2019,2019,F,201,91,1997,ne,ne
Rick Adelman,1969,1975,G,185,79,1946,da,ne
Jeff Adrien,2011,2015,F,201,111,1986,ne,ne
Arron Afflalo,2008,2018,G-F,196,95,1985,ne,ne
Ochai Agbaji,2023,2023,G,196,98,2000,ne,da
Maurice Ager,2007,2011,G,196,92,1984,ne,ne
Mark Aguirre,1982,1994,F-G,198,105,1959,ne,ne
Blake Ahearn,2008,2012,G,188,86,1984,ne,ne
Danny Ainge,1982,1995,G,193,79,1959,ne,ne
Matt Aitch,1968,1968,F,201,104,1944,ne,ne
Alexis Ajinça,2009,2017,C-F,218,113,1988,ne,ne
Henry Akin,1967,1969,C-F,208,102,1944,ne,ne
Josh Akognon,2013,2013,G,180,84,1986,ne,ne
DeVaughn Akoon-Purcell,2019,2019,G,198,91,1993,ne,ne
